Link to Full Case Details,Case Number,Defendant Name,Offence Date,Local Authority,Main Activity,Offence Description,Total Fine
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4753957,4753957,Hendry Hydraulics Limited[1],20/01/2021,Moray UA,,"Failed to undertake a suitable and sufficient assessment of the risk to employees from operating the CS100S circular sawing machine; failed to ensure that the circular sawing machine and the system for working on it was, so far as was reasonably practicable, safe; failed to provide such information, instruction, training and as was necessary to ensure, so far as was reasonably practicable, the health and safety at work of said employees whilst working on the saw; an employee inserted his right arm into the exit opening of the saw and his right hand came into contact with the saw blade to his severe injury and permanent disfigurement:, and failed to ensure that thorough examination and testing of engineering controls, namely local exhaust ventilation for the circular sawing machine was carried out in the previous 14 months",20000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4738395,4738395,James S Youngson Limited[1],19/09/2020,,81300 - LANDSCAPE SERVICE ACTIVITIES,Failed to make a suitable and sufficient assessment of and plan for work to be carried out at height to dismantle a fence; and failed to select equipment that was suitable for lifting persons namely an unmarked non-integrated work platform used in conjunction with excavator operated on said date by employees; and failed to carry out the work in a manner that was safe such that during the conduct of work at height the platform fell from the forks of the excavator while employees were working from it with the result that both were injured and required hospital treatment.,5000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4752463,4752463,Kerry Ingredients (UK) Limited[1],04/08/2021,,,failed to prevent access to the dangerous part of a machine and in particular did fail to ensure that access to the rotating mixer blades from the underside of Mixer 11 was prevented and as a result an employeesuffered severe injuries to his right hand.,360000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4664138,4664138,Key Property Solutions Limited[1],22/06/2019,,,"Failed to provide adequate control and supervision to workers while undertaking excavation over a gas mains pipeline at the above mentioned location, which subsequently led to the damage of the gas pipeline and resulted in over 500kg of gas release, thereby putting the health and safety of workers and members of public at risk;",12000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4721542,4721542,NHS Ayrshire & Arran Health Board[1],14/07/2021,North Ayrshire UA,86101 - HOSPITAL ACTIVITIES,"Failed to have a system in place to manage the risk of choking for residents who were known to have dysphagia, including a patient, who as a result of this failure was given a meal which was unsuitable for her modified diet and which caused her to fatally choke.",66000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4783133,4783133,Van Elle Limited[1],21/01/2021,Dumfries & Galloway UA,,"Failed to ensure that work equipment you were operating was maintained in an efficient state, in efficient working order and in good repair, whereby the lug on the machine’s foot plate fractured, which caused the pin to migrate out of position and subsequently the mast of the rig to collapse during a loading operation at the above site and in doing so struck and killed an operative.",233000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4664052,4664052,Rathburn Chemicals (Manufacturing) Limited[1],10/01/2020,Borders UA,20140 - ORGANIC BASIC CHEMICALS NEC,"Failed to identify the preventive and protective measures required to prevent a fire or explosion and in particular the process control system to prevent this including control of heat to the distillation process and identification of overheating and shutting down of the heat source to prevent a generation of flammable vapour that could and did lead to an explosion of pentane vapour, failed to develop adequate training programmes for employees and procedures for the safe operation of the distillation stills including, in particular, the amount of heat required to distil flammable substances and prevent the generation of flammable atmospheres and you did fail to provide adequate supervision and this resulted in excess heat to a pentane still",40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4734838,4734838,Rublane Limited[1],27/07/2021,Angus UA,33200 - INSTALLATION OF INDUSTRIAL MACHINERY & EQUIPMENT,"Failed to prepare a suitable and sufficient plan for work to be carried out; failed to make arrangements for on-site assessment and supervision of the work; failedto ensure that the work was carried out safely, and failed to ensure that your employees had received appropriate training, such that, while carrying out on work on a high level grain conveyor, an employee fell approximately 13 meters suffering fatal injuries as a consequence.",100000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4673326,4673326,West Fraser Europe Limited[1],20/01/2020,Stirling UA,16210 - MF VENEER SHEETS/WOOD PANELS,"Failed to take effective measures to prevent access to any dangerous part of machinery, in that the inspection hatch was not securely guarded on the bunker , meaning that persons could come into contact with dangerous parts, resulting in severe injury to an employee.",1068000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4713331,4713331,WM. Russell & Sons Limited[1],09/04/2021,Fife UA,37000 - SEWERAGE,"Permitted employees to undertake the removal and replacement of rotary blades on the Granulator without providing a safe system of work and information, instruction, training and supervision in respect of the effective isolation and lock-off of the machine from the power supply and did fail to ensure that the interlock safety devices fitted to the machine were maintained in an efficient state, efficient working order and in good repair, and as a consequence, an employee sustained serious and permanent injuries to his left hand and arm when it came into contact with the rotating blades of the granulator which actuated while he was removing a blade;",24000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4681428,4681428,W Watson Farm[1],29/05/2020,,,"You failed to ensure that suitable measures were in place to prevent a person from falling through the roof of the farmshed while undertaking roof repair works and you did fail to put in place the measures necessary to minimise the distance and consequences of a fall and, as a result, a person fell a distance of approximately 5.8 metres resulting in his personal injury;",10000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4725030,4725030,Hookstone Demolition Ltd[1],05/12/2019,Bradford,43110 - DEMOLITION,Lack of measures to prevent the uncontrolled fall of heavy components / lack of measures to prevent a person entering a dangerous area.,10000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4684841,4684841,Martins of York Limited[1],29/01/2020,York,,Prosecution following fatal investigation. Individual entered the recycling yard and was struck by a reversing vehicle. Failure to appropriately segregate vehicles and pedestrians,60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4767222,4767222,Mehmet Kalyoncu[1],01/08/2021,Blackpool UA,,"Prop' Prosecution - • Carried out work in relation to a gas fitting or gas storage vessel while not competent to do so. • Carried out work in relation to a gas fitting or gas storage vessel while not a member of a class of persons approved for the time being by the Health and Safety Executive. • Falsely pretended to be a member of a class of persons required by HSE for gas work. • Left a fitting unattended without ensuring that every incomplete gas way has been sealed with the appropriate fitting or the gas fitting is otherwise safe. • Failed to conduct their undertaking, namely work in relation to a gas fitting or gas storage vessel, in such a way, so far as is reasonably practicable, as to ensure that persons not in his employment were not exposed to a risk to their health or safety. • Contravened the requirement or prohibition imposed by a prohibition notice.",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4769694,4769694,Viva Nylons Limited[1],21/06/2021,Leicester UA,,"Contractor had accessed the roof of the building to remove the ducting to one of the machines below. He had laid out crawl boards on the roof to provide secure access to the area he was working in. Whilst carrying out work the contractor fell through one of the adjacent skylights, falling to the ground below.",266000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4769865,4769865,Matthew Jerome[1],03/08/2020,Portsmouth UA,,S37 HSWA prosecution for Gross Negligence Manslaughter for inadequate precautions for working at height leading to fatal accident and endagering others who worked below.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4778763,4778763,W Hesketh & Sons[1],07/05/2021,South Ribble,01410 - RAISING OF DAIRY CATTLE,"Duty holder had failed to take reasonably practicable measures to prevent employees being exposed to any risk from the rupture or disintegration of parts of work equipment, or the unintended or premature explosion of work equipment or any article or substance produced, used, or stored in it, thereby exposing them to risks to their health and safety.",80000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4676774,4676774,Mr Wayne Griffiths[1],21/09/2018,Kirklees,,Section 37 HSWA Prosecution of Wayne Griffiths as an employee of Arthur Brook Ltd for failure to control risks associated with conveyor,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4699204,4699204,Nomoco Limited[1],12/12/2018,,35300 - STEAM/AIR CONDITIONING SUPPLY,Failed to ensure that workers were not exposed to risk from a collision between an overhead travelling crane & and a mobile elevated work platform - WAH 4(1),0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4765393,4765393,North Sea Winches Limited[1],06/07/2021,,,Repeated breaches of health and safety law,17000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4709724,4709724,Storage Giant Limited[1],01/10/2020,Newport UA,,"Unplanned, unsupervised, and unsafe work at height carried out. Failure to carry out Principal Contractor duties outlined in CDM.",6000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4652487,4652487,S.C.W.S. Limited[1],05/07/2018,Breckland,41201 - CONSTRUCTION COMMERCIAL BLDGS,S.C.W.S. Limited - PR - Lower limb burns -,200000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4744290,4744290,Smith Glass Limited[1],07/05/2021,,43342 - GLAZING,"Prosecution following investigation into fall from height, whereby worker fell from a ladder due to no edge protection on mezzanine floor. See CM9 folder 4.7.21094., IMPACT 2021/162767",6000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4685244,4685244,Veolia ES (UK) Limited[1],17/10/2019,,43110 - DEMOLITION,Fatal accident and hospitalisation of another employee during removal of skirt pile on quayside.,3000000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4717004,4717004,Premier Engineering Projects Ltd[1],24/02/2020,Newham LB,,"Failure to conduct his undertaking in such a way as to ensure, so far as is reasonably practicable, that persons not in his employment who may be affected thereby are not thereby exposed to risks to their health or safety.",28000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4770621,4770621,Sharpes Of Nottingham Limited[1],,,,Fall from height from scaffold tower,
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4756959,4756959,RM Gibbons Limited[1],08/11/2019,St Helens,,"Proposed prosecution as a result of a fatality Fatality deceased crushed against building frame when operating MEWP. Unsuitable MEWP, not maintained and inadequate training in place.",40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4775277,4775277,Roger Gibbons[1],08/11/2019,West Lancashire,,"Proposed prosecution as a result of a fatality, deceased crushed against building frame when operating MEWP. Unsuitable MEWP, not maintained and inadequate training in place.",
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4752120,4752120,Roofing Cladding & Felting Services Limited[1],08/03/2021,Southampton UA,,Roofing Operative suffered serious life-changing injuries when he fell through a fragile asbestos cement roof. The Risk Assessment was inadequate and there were no fall prevention methods in place. There was a reasonably practicable safer method of work which would have reduced the risk of falling through the roof to negligible.,23000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4769864,4769864,Thomas Litchfield[1],03/08/2020,Portsmouth UA,,S37 HSWA prosecution for Gross Negligence Manslaughter for inadequate precautions for working at height leading to fatal accident and endagering others who worked below.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4759283,4759283,Philip Tickner[1],07/06/2021,Winchester,,Fatality further to working at height without appropriate safety measures in place.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4750318,4750318,Rotherham Metropolitan Borough Council[1],01/04/2019,Rotherham,,"Several employees at Hellaby Depot exposed to significant levels of vibration over numerous years leading to HAVS diagnosis and insufficient action taken to assess, reduce and remove exposure.",60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4752314,4752314,P Turnbull Joinery & Building Services Ltd[1],07/06/2021,Richmondshire,,Exposure to asbestos fibres,2000.00
